model,group_col,leakage_rate_diff,leakage_rate_ratio_min_over_max,topic_jsd_max
DeepSeek-V3.2,gender,0.0,,0.00034628363357920057
DeepSeek-V3.2,age_group,0.01,0.0,0.001896089806555484
DeepSeek-V3.2,nationality,0.0,,0.001940390715671994
DeepSeek-V3.2,religion,0.0,,0.0003286000725758048
DeepSeek-V3.2,marital_status,0.01909090909090909,0.6111111111111112,0.0014692375324181842
DeepSeek-V3.2,volunteer_type,0.0,,0.00030805232754075977
gemini-2.5-flash,gender,0.0,,0.00039389009160431315
gemini-2.5-flash,age_group,0.01,0.0,0.00047525331587387255
gemini-2.5-flash,nationality,0.006666666666666667,0.0,0.0009731956152153234
gemini-2.5-flash,religion,0.005,0.25,0.0001562292653975308
gemini-2.5-flash,marital_status,0.020909090909090912,0.3235294117647059,0.00043643557122432716
gemini-2.5-flash,volunteer_type,0.013333333333333334,0.0,5.2276505153172736e-05
gpt-5-mini,gender,0.0,,0.00014873508440945218
gpt-5-mini,age_group,0.0,,0.0004640308020163013
gpt-5-mini,nationality,0.0,,0.00017810507781076436
gpt-5-mini,religion,0.0,,0.00024075764698618639
gpt-5-mini,marital_status,0.02,0.0,0.0006460922590468812
gpt-5-mini,volunteer_type,0.0,,0.0001528760812850098
grok-4-fast,gender,0.0,,0.00013922182436188922
grok-4-fast,age_group,0.024545454545454544,0.18181818181818185,0.0004618673529253356
grok-4-fast,nationality,0.0,,0.0003958939757376465
grok-4-fast,religion,0.0,1.0,0.00023132424932836284
grok-4-fast,marital_status,0.013636363636363641,0.7272727272727272,0.00043587012383949604
grok-4-fast,volunteer_type,0.0,,0.00013746458039042627
mistral-small-2603,gender,0.0,,0.00019015718206507508
mistral-small-2603,age_group,0.0,,0.001125558595335409
mistral-small-2603,nationality,0.0,,0.0007820157002156841
mistral-small-2603,religion,0.0,,0.000212410319630367
mistral-small-2603,marital_status,0.06636363636363636,0.4296875,0.0012177893540839548
mistral-small-2603,volunteer_type,0.04666666666666667,0.0,0.000619005121375762
